identifica,xCentroid,yCentroid
"0344100000017444",131247.367,456073.753
"0344100000017445",131241.444,456073.407
"0344100000017927",132457.857,456130.057
"0344100000017447",132559.998,455793.324
"0344100000018396",131236.163,456151.078
"0344100000018397",131231.059,456150.235
"0344100000016084",132497.564,456204.824
"0344100000016085",132297.354,456405.462
"0344100000015244",131327.943,456526.947
"0344100000015245",131329.663,456521.930
"0344100000017928",132457.507,456136.672
"0344100000014804",131338.525,456231.658
"0344100000016094",132229.676,455563.854
"0344100000018841",131262.548,456773.181
"0344100000018843",132560.006,455637.798
"0344100000016540",131332.294,455991.543
"0344100000016541",131332.928,455985.527
"0344100000016542",132460.984,455628.331
"0344100000016550",131300.488,456298.612
"0344100000017477",132269.655,455393.440
"0344100000017959",132710.937,455632.551
"0344100000018852",131703.264,456067.677
"0344100000015278",132835.923,455758.453
"0344100000018437",132381.220,455786.896
"0344100000016578",132618.293,455835.622
"0344100000016579",132623.693,455835.144
"0344100000016131",132710.915,455864.143
"0344100000016132",132710.908,455859.198
"0344100000017984",132773.814,455758.546
"0344100000015747",131205.821,456030.022
"0344100000016138",131388.371,456169.180
"0344100000015741",131283.787,456515.003
"0344100000015746",131202.802,456036.188
"0344100000015300",132507.938,455558.110
"0344100000019351",131240.699,456422.863
"0344100000015304",132334.400,456185.023
"0344100000015305",132337.376,456192.875
"0344100000016148",131183.397,456480.680
"0344100000016610",132712.442,455795.341
"0344100000016152",132712.142,455800.139
"0344100000016607",132489.226,456107.625
"0344100000015311",131792.569,455654.417
"0344100000015317",132893.240,455231.453
"0344100000018483",132835.941,455701.631
"0344100000015770",132535.338,455767.167
"0344100000017554",131695.603,455876.059
"0344100000017556",132140.591,456157.824
"0344100000017557",132310.013,455623.885
"0344100000017558",132310.016,455618.942
"0344100000018916",131368.880,456249.513
"0344100000016171",132330.807,455529.599
"0344100000015783",132627.783,455871.869
"0344100000018924",131451.056,455875.361
"0344100000018925",131456.661,455875.604
"0344100000017061",131868.541,455877.014
"0344100000017075",132097.491,455843.851
"0344100000018503",132310.496,455716.919
"0344100000015794",131259.042,456779.734
"0344100000018044",132810.785,455287.375
"0344100000018940",131495.358,456396.886
"0344100000018515",132422.844,456153.848
"0344100000018516",132423.221,456147.227
"0344100000015805",132310.023,455662.286
"0344100000018947",131307.048,456627.691
"0344100000016662",132316.257,456040.535
"0344100000017086",131698.343,455788.357
"0344100000017638",131796.181,455876.102
"0344100000017582",131792.935,455847.168
"0344100000019392",131264.247,456041.795
